CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Algoritmos III/Técn.Diseño de Algoritmos,,,Miércoles,9:00,13:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,,40,Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos
Algoritmos III/Técn.Diseño de Algoritmos,,,Miércoles,17:00,21:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,,40,Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos
Genética ,,,Miércoles,10:00,13:00,2,6,EGE,Carcagno/Frankel,,9,Genética 
Química Orgánica ,,,Miércoles,15:00,17:00,2,6,QO,Duran Fernando,,17,Química Orgánica 
Lenguajes Formales Autómatas y Comp./TL,,,Miércoles,17:00,22:00,2,6,DC,Becher,,39,Lenguajes Formales Autómatas y Computabilidad/Teoría de Lenguajes
Análisis II/Matemática 3,,T1,Miércoles,9:00,14:00,2,12,DM,Pinasco/Guadalupe,,24,Análisis II/Matemática 3
Análisis II/Matemática 3,,T4,Miércoles,14:00,19:00,2,12,DM,Mastroberti,,24,Análisis II/Matemática 3
Cálculo Numérico/ECN,,,Miércoles,19:00,21:00,2,12,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo Numérico
Semana de los profesorados,12/11/2025,,Miércoles,10:00,13:00,2,15,,,,26,Semana de los profesorados
Psicología y Aprendizaje,,,Miércoles,18:00,22:00,2,15,CCPEMS,Acevedo,,24,Psicología y Aprendizaje
Evaluación en Matemática,,,Miércoles,15:00,19:00,2,111,CCPEMS,Bifano,,24,Evaluación en Matemática: procesos y resultados
Limnología,,,Miércoles,10:30,12:30,2,112,EGE,Izaguirre/Vera,,10,Limnología
Limnología,,,Miércoles,13:30,17:00,2,112,EGE,Izaguirre/Vera,,10,Limnología
Ingeniería Genética,,,Miércoles,18:00,22:00,2,112,FBMC,Colman,,19,Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares
Teoría de Juegos (DC) 2024,12/11/20255,,Miércoles,14:30,19:00,2,113,DC,Arbiser,,26,Teoría de Juegos (DC) 2024/Tópicos de Teoría de Juegos
Instrumentos y Mét.de Observación Ocean.,,,Miércoles,8:00,13:00,2,114,DCAO,Danieli/Cornejo,,40,Instrumentos y Métodos de Observación Oceanográficos
Ecología de Regiones y Paisajes,,,Miércoles,14:00,16:00,2,114,EGE,Cavia,,31,Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones
Sistemática de Plantas Vasculares,,,Miércoles,15:00,17:00,2,115,BBE,Iannone,,33,Sistemática de Plantas Vasculares/Tópicos en Sistemática de Plantas Vasculares
Química de Alimentos,,,Miércoles,17:00,20:00,2,115,DCAO,Campos,,20,Química de Alimentos
Paleo y Neoclima,,,Miércoles,8:00,10:00,2,116,DCAO,Doyle,,16,Paleo y Neoclima
Física 3,,,Miércoles,10:00,15:00,2,116,DF,Bejarano,,8,Física 3
Paleobiología,,,Miércoles,15:00,20:00,2,116,EGE,Laprida,,13,Paleobiología
Didáctica Esp.y Prác.de la Enseñanza I,,,Miércoles,14:00,20:00,2,117,CCPEMS,Aduriz,,38,Didáctica Especial y Práctica de la Enseñanza I/Didáctica de las Ciencias Naturales
Secretaria de Habitat (Brigada),5/11/2025,,Miércoles,11:00,13:00,2,203,,,,,
Secretaria de Habitat (Brigada),5/11/2025,,Miércoles,15:00,17:00,2,203,,,,,
Redaccion Cientifica,12/11/2025,,Miércoles,9:00,18:00,2,203,,Crespo,,,
Análisis Instrumental ,,T3,Miércoles,18:00,22:00,2,203,QO,Cabrera/Etchenique,,22,Análisis Instrumental 
