CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Introducción a la Zoología,,,Martes,9:00,12:00,0,1403,BBE,Genovese,,26,Introducción a la Zoología/Biodiversidad de Animales 
Probabilidad/Probabilidades y Estad.,,,Martes,14:00,19:00,0,1403,DM,Merzbacher/Fernández Vidal,,36,Probabilidad/Probabilidades y Estadística
MATEMAX 2025  ,16/12/2025,,Martes,9:00,18:00,0,1403,,Krick,,14,MATEMAX 2025  (KRICK)
Física 2,,TA,Martes,9:00,14:00,1,2,DF,Arbo/Frank,,8,Física 2
Álgebra I ,,T4,Martes,14:00,19:00,1,2,DM,Sirolli/Menconi,,10,Álgebra I 
Estructura de la Materia 1 ,,,Martes,9:00,12:00,1,3,DF,Dmitruk,,27,Estructura de la Materia 1 
Int.Inv.Operativa y Optimización,,,Martes,17:00,21:00,1,3,IC,Durán/Faillace,,32,Introducción a la Investigación Operativa y Optimización/Tópicos en Investigación Operativa
Álgebra I ,,T2,Martes,9:00,14:00,1,4,DM,Massri,,10,Álgebra I 
Física 1 ,,TC,Martes,17:00,22:00,1,4,DF,Capuzzi/Alonso,,9,Física 1 
Mecánica y Termodinámica ,,,Martes,9:00,13:00,1,5,DF,Ventura/Arcodia,,25,Mecánica y Termodinámica 
Procesamiento de Lenguaje Natural,,,Martes,17:00,21:00,1,5,DC,Del Corro,,33,Procesamiento de Lenguaje Natural/Procesamiento de Lenguaje Natural: Embeddings y Modelos Generativos
Análisis Numérico,,,Martes,12:00,14:00,1,6,DM,Ojea/Mendiluce,,17,Análisis Numérico/Tópicos de Análisis Numérico
Organización del Computador I,11/11/2025,,Martes,17:00,21:00,1,6,,,,,
Álgebras de Hopf: Anillo de Cohomología,,,Martes,11:30,13:00,1,7,DM,Solotar,,39,Álgebras de Hopf: Anillo de Cohomología
Homologia Persistente,,,Martes,15:00,18:00,1,7,DM,Fernández Ximena,,21,Homologia Persistente
Álgebra Lineal Computacional/MN,,TM,Martes,9:00,12:00,1,8,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos
Física Teórica 2,,,Martes,16:00,21:00,1,8,DF,Roncaglia/Paz/Ferro,,16,Física Teórica 2
Matemática 4/Análisis Matemático III,,,Martes,9:00,14:00,1,9,DM,Lederman,,36,Matemática 4/Análisis Matemático III
Álgebra Lineal Computacional/MN,,,Martes,17:00,20:00,1,9,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos
Teoría de Números,,,Martes,14:00,19:00,1,E24,DM,Walsh,,17,Teoría de Números/Tópicos de Teoría de Números
Análisis Numérico,,,Martes,9:00,12:00,1,Labo 1,DM,Ojea/Mendiluce,,17,Análisis Numérico/Tópicos de Análisis Numérico
Herramientas de visualización de datos,11/11/2025,,Martes,14:00,18:00,1,Labo 2,IC,,,38,Herramientas de visualización de datos
Semana de la Biotecnología,18/11/2025,,Martes,9:00,13:00,1,Magna,,,,26,
Algoritmos II/Algoritmos y Est.de Datos,NO18/11/2025,TM,Martes,9:00,14:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,TN,Martes,17:00,22:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Análisis Avanzado,,TM,Martes,9:00,13:00,2,5,DM,Turco/De Vita,,17,Análisis Avanzado
Fund.Biología Molecular y Fis. Cel.,,TT,Martes,13:00,17:00,2,5,FBMC,Nadra,,35,Fundamentos de Biología Molecular y Fisiología Celular
Álgebra I,,T5,Martes,17:00,22:00,2,5,DM,Rodriguez/Freyre,,9,Álgebra I
Álgebra I,,T1,Martes,9:00,14:00,2,6,DM,Pérez Millán,,9,Álgebra I
Paradigmas de Programación,,,Martes,17:00,22:00,2,6,DC,Cossio,,26,Paradigmas de Programación
Física 1,,TB,Martes,9:00,14:00,2,12,DF,Amette/Andres,hasta 01/12/2025,8,Física 1
Ingeniería de Software,,,Martes,17:00,19:00,2,12,DC,Wilkinson,,22,Ingeniería de Software/Ingeniería de Software I
Análisis Avanzado,,,Martes,13:00,14:00,2,15,DM,Turco/De Vita,,17,Análisis Avanzado
Didáctica Esp.y Prác.Enseñanza II,,,Martes,14:00,18:00,2,15,CCPEMS,González Galli/Pérez,,33,Didáctica Especial y Práctica de la Enseñanza II
Fitopatología,,,Martes,11:00,13:00,2,111,BBE,Novas,,13,Fitopatología/Actualizaciones en Fitopatología
Sistemática Teórica/Análisis Cladístico,,,Martes,14:00,16:00,2,111,EGE,Ramirez,,39,Sistemática Teórica/Análisis Cladístico
CBC (Dilella),,,Martes,16:00,18:00,2,111,,,,13,CBC (Dilella)
Neurofisiología Integrativa,18/11/2025,,Martes,11:00,14:00,2,112,FBMC,Delorenzi,,27,Neurofisiología Integrativa/Neurobiología
Circulación General,,,Martes,14:00,18:00,2,112,DCAO,Menéndez,,19,Circulación General/Procesos Atmosféricos y Oceánicos de Gran Escala/Procesos Dinámicos de Gran Escala en la Atmósfera
Meteorología y Oceanografía Teórica ,,,Martes,8:00,13:00,2,113,DCAO,Simionato/Kahl,,36,Meteorología y Oceanografía Teórica 
Neurofisiología Integrativa,,,Martes,14:00,17:00,2,113,FBMC,Delorenzi,,27,Neurofisiología Integrativa/Neurobiología
Neurofisiología Integrativa,11/11/2025-25/11/2025,,Martes,17:00,21:00,2,113,FBMC,Delorenzi,,27,Neurofisiología Integrativa/Neurobiología
Biología de la Conservación,,,Martes,14:00,16:00,2,114,EGE,Bilenca,,27,Biología de la Conservación/Conservación de la Biodiversidad
Biología de la Conservación,,,Martes,17:00,20:00,2,114,EGE,Paris,,27,Biología de la Conservación/Conservación de la Biodiversidad
Fisiología y Comportamiento de Insectos,,,Martes,10:00,12:30,2,115,BBE,Farina,,39,Fisiología y Comportamiento de Insectos/Tópicos en Fisiología y Comportamiento de Insectos
Fisiología Fúngica,,,Martes,14:00,16:30,2,115,BBE,Iannone,,18,Fisiología Fúngica/Fisiología y Biotecnología Fúngica
