CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
Ecuaciones Diferenciales,14/11/2025,,Viernes,15:00,19:00,1,7,,,,24,Ecuaciones Diferenciales
Álgebra Lineal Computacional/MN,Turno Mañana,,Viernes,9:00,14:00,1,8,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos
Mecánica y Termodinámica ,,,Viernes,17:00,21:00,1,8,DF,Balenzuela/Cornes,hasta 25/11/2025,25,Mecánica y Termodinámica 
Matemática 4/Análisis Matemático III,,,Viernes,9:00,14:00,1,9,DM,Lederman,,36,Matemática 4/Análisis Matemático III
Álgebra Lineal Computacional/MN,,,Viernes,17:00,22:00,1,9,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos
Cálculo Numérico ,14/11/2025,,Viernes,10:00,14:00,1,E24,,,,,
Mét.Efectivos de Resolución de Polinomios,,,Viernes,14:00,17:00,1,E24,DM,Krick,,41,Métodos Efectivos de Resolución de Polinomios
Álgebra II,14/11/2025,,Viernes,17:00,21:00,1,E24,,,,10,Álgebra II
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,1,Labo 1,,,,26,Semana de los profesorados
Pronóstico del Tiempo,,,Viernes,8:00,13:00,1,Labo 2,DCAO,Mezher/Saucedo,3º bimestre de 2025,21,Pronóstico del Tiempo/Laboratorio de Pronóstico del Tiempo/Técnicas y metodologías para el pronóstico del tiempo – Módulo 1/Técnicas y metodologías para el pronóstico del tiempo – Módulo 2
Neurobiología del Aprendizaje y la Mem.,14/11/2025,,Viernes,18:00,22:00,1,Labo 2,,,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria
Summer school Deep Learning,24/10/2025,,Viernes,9:00,13:00,1,Magna,,,,27,Summer school Deep Learning - secretaria.liaa
Algoritmos II/Algoritmos y Est.de Datos,NO24/10/2025,,Viernes,9:00,11:00,1,Magna,,,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,14:00,16:00,1,Magna,,,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,17:00,19:00,1,Magna,,,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Genética ,,,Viernes,10:00,13:00,2,5,EGE,Carcagno/Frankel,,9,Genética 
Álgebra I,,T5,Viernes,17:00,22:00,2,5,DM,Rodriguez/Freyre,,9,Álgebra I
Álgebra I,,T1,Viernes,9:00,14:00,2,6,DM,Pérez Millán,,9,Álgebra I
Paradigmas de Programación ,,,Viernes,17:00,22:00,2,6,DC,Cossio,,27,Paradigmas de Programación 
Física 1 ,,TB,Viernes,9:00,14:00,2,12,DF,Amette/Andres,,9,Física 1 
Ingeniería de Software,,,Viernes,17:00,19:00,2,12,DC,Wilkinson,,22,Ingeniería de Software/Ingeniería de Software I
Alemán I,NO14/11/2025,,Viernes,10:00,13:00,2,15,SA,Rodríguez,,8,Alemán I
Semana de los profesorados,14/11/2025,,Viernes,10:00,15:00,2,15,,,,26,Semana de los profesorados
Didáctica Esp.y Práctica de la Ens.I,,,Viernes,15:00,19:00,2,15,CCPEMS,Chacín,,36,Didáctica Especial y Práctica de la Enseñanza I
Fitopatología,,,Viernes,11:00,13:00,2,111,BBE,Novas,,13,Fitopatología/Actualizaciones en Fitopatología
Sistemática Teórica,,,Viernes,14:00,16:00,2,111,EGE,Ramirez,,19,Sistemática Teórica/Análisis Cladístico
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,2,112,,,,26,Semana de los profesorados
Circulación General,,,Viernes,14:00,18:00,2,112,DCAO,Menéndez,,19,Circulación General/Procesos Atmosféricos y Oceánicos de Gran Escala/Procesos Dinámicos de Gran Escala en la Atmósfera
Limnología,,,Viernes,10:30,12:30,2,113,EGE,Izaguirre/Vera,,10,Limnología
Limnología,,,Viernes,13:30,17:00,2,113,EGE,Izaguirre/Vera,,10,Limnología
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,2,114,,,,26,Semana de los profesorados
