CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Análisis II/Matemática 3,,T4,Lunes,14:00,19:00,1,2,DM,Mastroberti,,24,Análisis II/Matemática 3
Análisis II/Matemática 3,,T2,Lunes,9:00,14:00,1,3,DM,Maas/Guadalupe,,24,Análisis II/Matemática 3
Análisis II/Matemática 3,,T3,Lunes,17:00,22:00,1,3,DM,De Napoli/Ceresa,,24,Análisis II/Matemática 3
AED/AEDII,10/11/2025,,Lunes,9:00,12:00,1,4,,,,,
Combinatoria,,,Lunes,14:00,17:00,1,4,DM,Barmak,,12,Combinatoria
ISII,10/11/2025,,Lunes,9:00,12:00,1,5,,,,,
Matemática I ,,TB,Lunes,17:00,22:00,1,5,DM,Armentano/Rodríguez Cartabia,,13,Matemática I 
Análisis Matemático 1,,,Lunes,17:30,22:00,1,6,DM,Kuna/Acri,,21,Análisis Matemático 1
Laboratorio de Electrónica,,,Lunes,17:00,21:00,1,7,,Schmiegelow ,,26,Laboratorio de Electrónica
Mecánica Cláisca,,,Lunes,9:00,14:00,1,8,DF,Rodrigues Ferreira/Badia,,16,Mecánica Cláisca
Int.al Modelado Continuo,,,Lunes,14:00,16:00,1,8,DF,Mindlin,,24,Introducción al Modelado Continuo/Ecuaciones de la Física Matemática
Arq.y Org.Computadores/Organización II,,T1,Lunes,17:00,22:00,1,8,DC,Cervetto/Furfaro,,38,Arquitectura y Organización de Computadores/Organización del Computador II 
Matemática I ,,TA,Lunes,9:00,14:00,1,9,DM,Rodríguez Cartabia/Kun,,13,Matemática I 
Arq.y Org.Computadores/Organización II,,T2,Lunes,17:00,19:00,1,9,DC,Cervetto/Furfaro,,38,Arquitectura y Organización de Computadores/Organización del Computador II 
Álgebra I,10/11/2025,,Lunes,15:00,19:00,1,E24,,,,,
Climatología,,,Lunes,8:00,13:00,1,Labo 1,DCAO,Robleto/Ayala,,12,Climatología
Informática Educativa,,,Lunes,18:00,20:00,1,Labo 1,CCPEMS,Chacín,,21,Informática Educativa
Introducción al Cambio Climatología,,,Lunes,16:00,19:00,1,Labo 2,DCAO,,,35,Procesamiento de Imágenes I 
Algoritmos III/Técn.Diseño de Algoritmos,,,Lunes,9:00,13:00,1,Magna,DC,Bemdersky/Bianchi/Gaggion/Lin,,40,Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos
Algoritmos III/Técn.Diseño de Algoritmos,,,Lunes,17:00,21:00,1,Magna,DC,Bemdersky/Bianchi/Gaggion/Lin,,40,Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos
Física 3 ,,TA,Lunes,9:00,14:00,2,3,DF,Bertucci/Buccino,,9,Física 3 
Análisis I/Matemática 1,,T1,Lunes,9:00,14:00,2,5,DM,Larotonda/Saintier/Slezak/Raffa,,23,Análisis I/Matemática 1
Análisis I/Matemática 1,,TT,Lunes,14:00,19:00,2,5,DM,Maas/Villafañe,,23,Análisis I/Matemática 1
Análisis I/Matemática 1,,T2,Lunes,9:00,14:00,2,6,DM,Larotonda/Saintier/Slezak/Raffa,,23,Análisis I/Matemática 1
Química Orgánica ,,,Lunes,15:00,17:00,2,6,QO,Duran Fernando,hasta 27/11,17,Química Orgánica 
Análisis I/Matemática 1,,TN,Lunes,17:00,22:00,2,6,DM,Cesaratto/Honore,,23,Análisis I/Matemática 1
Análisis II/Matemática 3 ,,T1,Lunes,9:00,14:00,2,12,DM,Pinasco/Guadalupe,,25,Análisis II/Matemática 3 
Cálculo Numérico/ECN,,,Lunes,16:00,19:00,2,12,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo numérico 
